,id,anios_estudiados,barrio,categoria_de_trabajo,edad,educacion_alcanzada,estado_marital,ganancia_perdida_declarada_bolsa_argentina,genero,horas_trabajo_registradas,religion,representatividad_poblacional,rol_familiar_registrado,trabajo,tiene_alto_valor_adquisitivo
66,67,16,Palermo,responsable_inscripto,41,universidad_2_anio,matrimonio_civil,15024,hombre,60,cristianismo,445382,casado,reparador,1
67,68,14,Palermo,relacion_de_dependencia,19,5_anio,sin_matrimonio,0,hombre,20,cristianismo,105460,con_hijos,otros,0
68,69,13,Palermo,relacion_de_dependencia,46,4_anio,separado,0,hombre,40,cristianismo,170338,sin_familia,transporte,0
69,70,13,Palermo,relacion_de_dependencia,43,4_anio,matrimonio_civil,0,hombre,48,cristianismo,102606,casado,ventas,0
70,71,14,Palermo,relacion_de_dependencia,55,5_anio,matrimonio_civil,15024,hombre,45,cristianismo,323887,casado,directivo_gerente,1
71,72,15,Palermo,relacion_de_dependencia,46,universidad_1_anio,matrimonio_civil,0,hombre,40,cristianismo,175622,casado,soporte_tecnico,0
72,73,13,Belgrano,relacion_de_dependencia,30,4_anio,matrimonio_civil,0,hombre,40,cristianismo,229636,casado,inspector,0
73,74,14,Palermo,relacion_de_dependencia,21,5_anio,separado,0,mujer,40,cristianismo,388946,sin_familia,limpiador,0
74,75,14,Coghland,relacion_de_dependencia,46,5_anio,matrimonio_civil,0,hombre,40,otro,269034,casado,reparador,0
75,76,10,Palermo,No respondio,17,1_anio,sin_matrimonio,0,hombre,40,cristianismo,165361,con_hijos,No respondio,0
76,77,13,Palermo,relacion_de_dependencia,41,4_anio,matrimonio_civil,0,hombre,50,cristianismo,75012,casado,inspector,0
77,78,13,Palermo,responsable_inscripto,69,4_anio,matrimonio_civil,0,hombre,30,cristianismo,174379,casado,ventas,0
78,79,13,Palermo,relacion_de_dependencia,50,4_anio,matrimonio_civil,0,hombre,40,cristianismo,312477,casado,transporte,0
79,80,14,Palermo,relacion_de_dependencia,20,5_anio,sin_matrimonio,0,mujer,40,cristianismo,72055,sin_familia,entretenimiento,0
80,81,14,Palermo,responsable_inscripto,45,5_anio,matrimonio_civil,0,hombre,50,cristianismo,67001,casado,inspector,0
81,82,17,Palermo,relacion_de_dependencia,23,universidad_3_anio,sin_matrimonio,0,hombre,40,cristianismo,213734,sin_familia,directivo_gerente,0
82,83,14,Palermo,relacion_de_dependencia,24,5_anio,separado,-1876,hombre,40,cristianismo,83141,sin_familia,otros,0
83,84,13,Otro Barrio,responsable_inscripto,44,4_anio,matrimonio_civil,99999,hombre,50,cristianismo,223881,casado,reparador,1
84,85,14,Palermo,monotibutista,31,5_anio,matrimonio_civil,0,hombre,50,cristianismo,113752,casado,reparador,0
85,86,13,Palermo,relacion_de_dependencia,43,4_anio,separado,0,mujer,44,cristianismo,170482,sin_familia,inspector,0
86,87,11,Palermo,empleadao_estatal,20,2_anio,sin_matrimonio,0,mujer,10,cristianismo,244689,con_hijos,otros,0
87,88,13,Palermo,relacion_de_dependencia,55,4_anio,matrimonio_civil,0,hombre,56,cristianismo,160631,casado,ventas,0
88,89,14,Palermo,empleadao_estatal,24,5_anio,sin_matrimonio,0,hombre,40,cristianismo,228724,sin_familia,ejercito,0
89,90,18,Palermo,No respondio,41,universidad_4_anio,matrimonio_civil,7688,mujer,10,cristianismo,38434,casada,No respondio,0
90,91,17,Palermo,relacion_de_dependencia,59,universidad_3_anio,sin_matrimonio,0,mujer,25,cristianismo,292946,sin_familia,directivo_gerente,0
91,92,8,Palermo,empleadao_estatal,49,7-8_grado,sin_matrimonio,0,hombre,20,judaismo,77443,sin_familia,otros,0
92,93,18,Palermo,relacion_de_dependencia,33,universidad_4_anio,matrimonio_civil,5178,mujer,10,cristianismo,176410,casada,profesional_especializado,1
93,94,17,Palermo,empleadao_estatal,59,universidad_3_anio,divorciado,0,hombre,40,cristianismo,98984,sin_familia,entretenimiento,0
94,95,18,Palermo,relacion_de_dependencia,34,universidad_4_anio,sin_matrimonio,0,hombre,40,ateismo,198751,sin_familia,otros,0
95,96,13,Palermo,relacion_de_dependencia,20,4_anio,sin_matrimonio,0,hombre,40,cristianismo,479296,con_hijos,limpiador,0
96,97,17,Palermo,relacion_de_dependencia,25,universidad_3_anio,sin_matrimonio,0,mujer,40,cristianismo,235218,con_hijos,directivo_gerente,0
97,98,10,Palermo,relacion_de_dependencia,49,1_anio,matrimonio_civil,0,hombre,40,cristianismo,164877,casado,sector_primario,0
98,99,13,Palermo,relacion_de_dependencia,59,4_anio,matrimonio_civil,0,hombre,40,cristianismo,272087,casado,transporte,0
99,100,13,Palermo,relacion_de_dependencia,20,4_anio,sin_matrimonio,0,mujer,40,cristianismo,169699,sin_familia,entretenimiento,0
100,101,14,Palermo,No respondio,51,5_anio,matrimonio_civil,0,mujer,18,cristianismo,189762,casada,No respondio,0
101,102,14,Palermo,relacion_de_dependencia,33,5_anio,sin_matrimonio,0,mujer,35,judaismo,202191,soltero_a,entretenimiento,0
102,103,14,Palermo,relacion_de_dependencia,22,5_anio,sin_matrimonio,0,hombre,39,judaismo,212261,con_hijos,transporte,0
103,104,9,Palermo,monotibutista,58,9_grado,viudo_a,0,mujer,40,cristianismo,301568,sin_familia,otros,0
104,105,13,Palermo,empleado_municipal,52,4_anio,viudo_a,0,mujer,28,cristianismo,155233,soltero_a,entretenimiento,0
105,106,10,Palermo,relacion_de_dependencia,36,1_anio,separado,0,mujer,40,cristianismo,75826,sin_familia,inspector,0
106,107,13,Palermo,empleado_municipal,41,4_anio,matrimonio_civil,0,hombre,40,cristianismo,201520,casado,seguridad,0
107,108,13,Palermo,relacion_de_dependencia,28,4_anio,sin_matrimonio,2597,hombre,40,cristianismo,154236,con_hijos,transporte,0
108,109,14,Palermo,relacion_de_dependencia,19,5_anio,sin_matrimonio,0,hombre,16,judaismo,289227,con_hijos,limpiador,0
109,110,13,Palermo,relacion_de_dependencia,18,4_anio,sin_matrimonio,0,mujer,28,cristianismo,217439,sin_familia,otros,0
110,111,13,Palermo,relacion_de_dependencia,18,4_anio,sin_matrimonio,0,mujer,48,cristianismo,179020,con_hijos,inspector,0
111,112,14,Palermo,relacion_de_dependencia,28,5_anio,matrimonio_civil,0,hombre,40,cristianismo,149624,casado,reparador,0
112,113,15,Palermo,relacion_de_dependencia,29,universidad_1_anio,matrimonio_civil,0,hombre,40,cristianismo,337266,casado,directivo_gerente,1
113,114,13,Palermo,No respondio,20,4_anio,sin_matrimonio,0,mujer,20,cristianismo,30796,con_hijos,No respondio,0
114,115,14,Palermo,relacion_de_dependencia,40,5_anio,matrimonio_civil,0,hombre,40,cristianismo,103541,casado,limpiador,0
115,116,13,Palermo,relacion_de_dependencia,26,4_anio,sin_matrimonio,0,hombre,40,cristianismo,206721,soltero_a,limpiador,0
116,117,13,Palermo,relacion_de_dependencia,46,4_anio,matrimonio_civil,0,hombre,40,cristianismo,96773,casado,reparador,0
117,118,11,Palermo,relacion_de_dependencia,23,2_anio,sin_matrimonio,0,mujer,24,cristianismo,200967,sin_familia,otros,0
118,119,13,Palermo,relacion_de_dependencia,44,4_anio,pareja_no_presente,0,mujer,40,cristianismo,180019,soltero_a,entretenimiento,0
119,120,17,Palermo,relacion_de_dependencia,43,universidad_3_anio,divorciado,0,mujer,40,cristianismo,179866,soltero_a,ventas,0
120,121,17,Palermo,empleado_municipal,31,universidad_3_anio,divorciado,0,mujer,60,cristianismo,198770,soltero_a,profesional_especializado,0
121,122,14,Palermo,relacion_de_dependencia,18,5_anio,sin_matrimonio,0,mujer,25,cristianismo,219256,con_hijos,ventas,0
122,123,14,Palermo,relacion_de_dependencia,19,5_anio,sin_matrimonio,0,hombre,30,cristianismo,248730,con_hijos,seguridad,0
123,124,14,Palermo,relacion_de_dependencia,41,5_anio,divorciado,0,mujer,40,cristianismo,110732,sin_familia,soporte_tecnico,0
124,125,13,Palermo,relacion_de_dependencia,41,4_anio,divorciado,0,mujer,40,cristianismo,181020,soltero_a,limpiador,0
125,126,13,Palermo,relacion_de_dependencia,69,4_anio,divorciado,0,mujer,25,cristianismo,183791,sin_familia,entretenimiento,0
126,127,20,Palermo,empleadao_estatal,48,universiada_6_anio,matrimonio_civil,0,mujer,40,cristianismo,42972,casada,profesional_especializado,1
127,128,13,Palermo,relacion_de_dependencia,28,4_anio,sin_matrimonio,0,hombre,40,cristianismo,134813,con_hijos,profesional_especializado,0
128,129,13,La Paternal,monotibutista,27,4_anio,matrimonio_civil,0,hombre,60,cristianismo,115438,casado,reparador,0
129,130,18,Palermo,relacion_de_dependencia,41,universidad_4_anio,matrimonio_civil,-2415,hombre,50,cristianismo,239296,casado,profesional_especializado,1
130,131,14,Palermo,relacion_de_dependencia,41,5_anio,matrimonio_civil,0,hombre,40,cristianismo,428420,casado,entretenimiento,0
131,132,13,Palermo,relacion_de_dependencia,24,4_anio,sin_matrimonio,0,mujer,40,judaismo,247846,soltero_a,reparador,0
132,133,13,Palermo,No respondio,20,4_anio,sin_matrimonio,0,mujer,40,cristianismo,334105,sin_familia,No respondio,0
133,134,20,Palermo,responsable_inscripto,42,universiada_6_anio,matrimonio_civil,0,hombre,41,cristianismo,100793,casado,profesional_especializado,1
134,135,13,Palermo,relacion_de_dependencia,57,4_anio,matrimonio_civil,0,hombre,48,judaismo,244478,casado,reparador,0
135,136,16,Palermo,relacion_de_dependencia,30,universidad_2_anio,sin_matrimonio,0,mujer,40,cristianismo,142921,sin_familia,profesional_especializado,0
136,137,13,Palermo,relacion_de_dependencia,36,4_anio,matrimonio_civil,0,hombre,60,cristianismo,182863,casado,ventas,0
137,138,8,Palermo,relacion_de_dependencia,49,7-8_grado,matrimonio_civil,0,hombre,40,judaismo,171128,casado,inspector,0
138,139,13,Palermo,relacion_de_dependencia,33,4_anio,matrimonio_civil,0,mujer,35,cristianismo,145402,casada,inspector,0
139,140,10,Palermo,relacion_de_dependencia,23,1_anio,matrimonio_civil,0,hombre,40,cristianismo,306309,casado,sector_primario,0
140,141,18,Palermo,relacion_de_dependencia,46,universidad_4_anio,matrimonio_civil,0,hombre,40,cristianismo,83822,casado,profesional_especializado,1
141,142,14,Villa Urquiza,relacion_de_dependencia,18,5_anio,sin_matrimonio,0,mujer,22,budismo,262118,con_hijos,entretenimiento,0
142,143,13,Palermo,relacion_de_dependencia,40,4_anio,matrimonio_civil,7688,hombre,55,cristianismo,155972,casado,directivo_gerente,1
143,144,13,Palermo,responsable_inscripto,43,4_anio,matrimonio_civil,-1887,hombre,45,cristianismo,214503,casado,directivo_gerente,1
144,145,18,Palermo,relacion_de_dependencia,34,universidad_4_anio,sin_matrimonio,0,mujer,30,cristianismo,159303,con_hijos,profesional_especializado,0
145,146,13,Palermo,monotibutista,47,4_anio,viudo_a,0,mujer,30,cristianismo,174995,sin_familia,directivo_gerente,0
146,147,15,Palermo,relacion_de_dependencia,44,universidad_1_anio,viudo_a,0,mujer,30,cristianismo,26669,soltero_a,directivo_gerente,0
147,148,13,Palermo,relacion_de_dependencia,33,4_anio,matrimonio_civil,0,hombre,40,cristianismo,177727,casado,ventas,0
148,149,17,Palermo,relacion_de_dependencia,55,universidad_3_anio,matrimonio_civil,15024,hombre,50,cristianismo,124771,casado,directivo_gerente,1
149,150,13,Palermo,relacion_de_dependencia,19,4_anio,sin_matrimonio,2907,hombre,30,cristianismo,456736,sin_familia,ventas,0
150,151,14,Palermo,relacion_de_dependencia,28,5_anio,sin_matrimonio,0,hombre,14,judaismo,216604,sin_familia,otros,0
151,152,11,Palermo,relacion_de_dependencia,27,2_anio,matrimonio_civil,0,mujer,32,judaismo,221561,casada,otros,0
152,153,8,Palermo,relacion_de_dependencia,50,7-8_grado,matrimonio_civil,0,hombre,20,cristianismo,114564,casado,inspector,0
153,154,11,Palermo,relacion_de_dependencia,22,2_anio,sin_matrimonio,0,hombre,40,cristianismo,315476,soltero_a,reparador,0
154,155,17,Palermo,empleado_provincial,40,universidad_3_anio,matrimonio_civil,-1887,hombre,45,cristianismo,67874,casado,entretenimiento,0
155,156,14,Palermo,relacion_de_dependencia,25,5_anio,sin_matrimonio,0,mujer,40,cristianismo,126110,con_hijos,entretenimiento,0
156,157,13,Palermo,empleado_municipal,26,4_anio,sin_matrimonio,0,hombre,40,cristianismo,102264,sin_familia,reparador,0
157,158,17,Palermo,relacion_de_dependencia,22,universidad_3_anio,sin_matrimonio,0,hombre,25,cristianismo,537222,sin_familia,ventas,0
158,159,14,Palermo,relacion_de_dependencia,42,5_anio,sin_matrimonio,-625,mujer,40,judaismo,113732,soltero_a,limpiador,0
159,160,17,Palermo,responsable_inscripto,38,universidad_3_anio,divorciado,0,hombre,40,cristianismo,93225,sin_familia,directivo_gerente,0
160,161,11,Palermo,relacion_de_dependencia,55,2_anio,matrimonio_civil,0,hombre,30,cristianismo,43064,casado,otros,0
161,162,13,Palermo,relacion_de_dependencia,32,4_anio,matrimonio_civil,0,hombre,40,cristianismo,136921,casado,ventas,0
162,163,13,Palermo,relacion_de_dependencia,22,4_anio,matrimonio_civil,0,hombre,45,cristianismo,388885,casado,reparador,0
163,164,17,Palermo,relacion_de_dependencia,29,universidad_3_anio,sin_matrimonio,0,hombre,40,cristianismo,142249,con_hijos,ventas,0
164,165,18,Palermo,empleado_provincial,46,universidad_4_anio,matrimonio_civil,0,hombre,45,cristianismo,56841,casado,directivo_gerente,1
165,166,14,Palermo,relacion_de_dependencia,31,5_anio,matrimonio_civil,0,hombre,40,cristianismo,156493,casado,directivo_gerente,1
166,167,20,Palermo,monotibutista,58,universiada_6_anio,matrimonio_civil,0,hombre,16,cristianismo,159021,casado,profesional_especializado,1
167,168,13,Palermo,relacion_de_dependencia,42,4_anio,matrimonio_civil,0,hombre,45,cristianismo,190910,casado,reparador,0
168,169,13,Palermo,relacion_de_dependencia,18,4_anio,sin_matrimonio,0,hombre,25,cristianismo,41879,soltero_a,limpiador,0
169,170,13,Palermo,empleado_municipal,58,4_anio,divorciado,0,hombre,33,cristianismo,137249,sin_familia,directivo_gerente,0
170,171,13,Palermo,relacion_de_dependencia,54,4_anio,matrimonio_civil,-1887,hombre,40,cristianismo,236157,casado,profesional_especializado,1
171,172,18,Palermo,relacion_de_dependencia,34,universidad_4_anio,sin_matrimonio,0,hombre,40,cristianismo,189759,sin_familia,profesional_especializado,0
172,173,17,Palermo,relacion_de_dependencia,26,universidad_3_anio,sin_matrimonio,0,mujer,40,cristianismo,239877,sin_familia,entretenimiento,0
173,174,12,Palermo,relacion_de_dependencia,61,3_anio,matrimonio_civil,0,hombre,60,cristianismo,21175,casado,directivo_gerente,0
174,175,18,Palermo,empleado_municipal,48,universidad_4_anio,separado,0,mujer,40,judaismo,67229,soltero_a,entretenimiento,0
175,176,14,Palermo,relacion_de_dependencia,36,5_anio,matrimonio_civil,0,hombre,45,cristianismo,236391,casado,directivo_gerente,1
176,177,15,Palermo,relacion_de_dependencia,24,universidad_1_anio,matrimonio_civil,0,hombre,45,cristianismo,325596,casado,inspector,0
177,178,14,Palermo,relacion_de_dependencia,40,5_anio,matrimonio_civil,0,hombre,37,cristianismo,83411,casado,inspector,0
178,179,13,Palermo,responsable_inscripto,33,4_anio,matrimonio_civil,0,hombre,50,cristianismo,154227,casado,ventas,0
179,180,14,Palermo,relacion_de_dependencia,37,5_anio,matrimonio_civil,-1887,hombre,40,cristianismo,248010,casado,inspector,0
180,181,18,Palermo,relacion_de_dependencia,34,universidad_4_anio,sin_matrimonio,4650,hombre,40,cristianismo,198613,con_hijos,directivo_gerente,0
181,182,14,Palermo,responsable_inscripto,56,5_anio,matrimonio_civil,15024,hombre,40,cristianismo,321529,casado,directivo_gerente,1
182,183,13,Palermo,No respondio,28,4_anio,matrimonio_civil,0,mujer,38,cristianismo,168524,con_hijos,No respondio,0
183,184,17,Palermo,relacion_de_dependencia,37,universidad_3_anio,viudo_a,0,mujer,55,cristianismo,203079,sin_familia,directivo_gerente,0
184,185,13,Palermo,relacion_de_dependencia,44,4_anio,divorciado,0,mujer,40,judaismo,284652,soltero_a,ventas,0
185,186,14,Palermo,No respondio,64,5_anio,matrimonio_civil,0,hombre,8,cristianismo,201368,casado,No respondio,0
186,187,13,Palermo,relacion_de_dependencia,54,4_anio,divorciado,0,hombre,45,cristianismo,59840,sin_familia,limpiador,0
187,188,13,Palermo,relacion_de_dependencia,23,4_anio,sin_matrimonio,0,hombre,50,cristianismo,52753,sin_familia,inspector,0
188,189,17,Otro Barrio,empleado_provincial,34,universidad_3_anio,pareja_no_presente,0,hombre,40,judaismo,513100,sin_familia,sector_primario,0
189,190,13,Palermo,relacion_de_dependencia,22,4_anio,sin_matrimonio,0,mujer,45,cristianismo,199266,sin_familia,otros,0
190,191,17,Palermo,relacion_de_dependencia,33,universidad_3_anio,matrimonio_civil,-1977,hombre,40,cristianismo,196385,casado,directivo_gerente,1
191,192,17,Palermo,relacion_de_dependencia,39,universidad_3_anio,separado,0,hombre,50,cristianismo,163205,sin_familia,profesional_especializado,0
192,193,14,Palermo,relacion_de_dependencia,47,5_anio,divorciado,0,mujer,37,judaismo,411047,sin_familia,entretenimiento,0
193,194,8,Palermo,No respondio,79,7-8_grado,viudo_a,0,hombre,40,cristianismo,48574,sin_familia,No respondio,0
194,195,13,Palermo,relacion_de_dependencia,26,4_anio,sin_matrimonio,0,mujer,55,judaismo,209440,soltero_a,profesional_especializado,0
195,196,14,Palermo,relacion_de_dependencia,31,5_anio,divorciado,0,mujer,40,cristianismo,56964,soltero_a,directivo_gerente,0
196,197,14,Palermo,relacion_de_dependencia,44,5_anio,sin_matrimonio,0,hombre,45,cristianismo,299197,sin_familia,transporte,0
197,198,19,Palermo,responsable_inscripto,42,universiada_5_anio,matrimonio_civil,0,mujer,50,cristianismo,240628,casada,profesional_especializado,1
198,199,13,Palermo,relacion_de_dependencia,19,4_anio,sin_matrimonio,0,mujer,40,cristianismo,355313,sin_familia,inspector,0
199,200,13,Palermo,relacion_de_dependencia,27,4_anio,matrimonio_civil,0,hombre,40,cristianismo,132267,casado,limpiador,0
200,201,14,Palermo,empleado_municipal,51,5_anio,matrimonio_civil,0,hombre,40,cristianismo,174861,casado,seguridad,1
201,202,17,Palermo,responsable_inscripto,28,universidad_3_anio,matrimonio_civil,0,hombre,50,cristianismo,142443,casado,directivo_gerente,1
202,203,17,Palermo,relacion_de_dependencia,57,universidad_3_anio,divorciado,0,hombre,45,cristianismo,26716,sin_familia,reparador,0
203,204,17,Palermo,empleado_municipal,45,universidad_3_anio,divorciado,0,mujer,40,cristianismo,185588,soltero_a,profesional_especializado,0
204,205,15,Palermo,relacion_de_dependencia,50,universidad_1_anio,matrimonio_civil,0,hombre,40,cristianismo,175029,casado,profesional_especializado,1
205,206,17,Palermo,responsable_inscripto,34,universidad_3_anio,matrimonio_civil,0,hombre,54,cristianismo,34848,casado,ventas,1
