,categoria_de_trabajo,estado_marital,genero,trabajo,tiene_alto_valor_adquisitivo
82,5.0,4.0,0.0,6.0,0
83,6.0,1.0,0.0,8.0,1
84,4.0,1.0,0.0,8.0,0
85,5.0,4.0,1.0,4.0,0
86,1.0,5.0,1.0,6.0,0
87,5.0,1.0,0.0,14.0,0
88,1.0,5.0,0.0,2.0,0
89,0.0,1.0,1.0,0.0,1
90,5.0,5.0,1.0,1.0,0
91,1.0,5.0,0.0,6.0,0
92,5.0,1.0,1.0,7.0,1
93,1.0,0.0,0.0,3.0,0
94,5.0,5.0,0.0,6.0,0
95,5.0,5.0,0.0,5.0,0
96,5.0,5.0,1.0,1.0,0
97,5.0,1.0,0.0,9.0,0
98,5.0,1.0,0.0,13.0,0
99,5.0,5.0,1.0,3.0,0
100,0.0,1.0,1.0,0.0,0
101,5.0,5.0,1.0,3.0,0
102,5.0,5.0,0.0,13.0,0
103,4.0,6.0,1.0,6.0,0
104,2.0,6.0,1.0,3.0,0
105,5.0,4.0,1.0,4.0,0
106,2.0,1.0,0.0,10.0,0
107,5.0,5.0,0.0,13.0,0
108,5.0,5.0,0.0,5.0,0
109,5.0,5.0,1.0,6.0,0
110,5.0,5.0,1.0,4.0,0
111,5.0,1.0,0.0,8.0,0
112,5.0,1.0,0.0,1.0,0
113,0.0,5.0,1.0,0.0,0
114,5.0,1.0,0.0,5.0,0
115,5.0,5.0,0.0,5.0,0
116,5.0,1.0,0.0,8.0,0
117,5.0,5.0,1.0,6.0,0
118,5.0,3.0,1.0,3.0,0
119,5.0,0.0,1.0,14.0,0
120,2.0,0.0,1.0,7.0,0
121,5.0,5.0,1.0,14.0,0
122,5.0,5.0,0.0,10.0,0
123,5.0,0.0,1.0,12.0,0
124,5.0,0.0,1.0,5.0,0
125,5.0,0.0,1.0,3.0,0
126,1.0,1.0,1.0,7.0,0
127,5.0,5.0,0.0,7.0,0
128,4.0,1.0,0.0,8.0,0
129,5.0,1.0,0.0,7.0,1
130,5.0,1.0,0.0,3.0,0
131,5.0,5.0,1.0,8.0,0
132,0.0,5.0,1.0,0.0,0
133,6.0,1.0,0.0,7.0,0
134,5.0,1.0,0.0,8.0,0
135,5.0,5.0,1.0,7.0,0
136,5.0,1.0,0.0,14.0,0
137,5.0,1.0,0.0,4.0,0
138,5.0,1.0,1.0,4.0,0
139,5.0,1.0,0.0,9.0,0
140,5.0,1.0,0.0,7.0,0
141,5.0,5.0,1.0,3.0,0
142,5.0,1.0,0.0,1.0,1
143,6.0,1.0,0.0,1.0,0
144,5.0,5.0,1.0,7.0,0
145,4.0,6.0,1.0,1.0,0
146,5.0,6.0,1.0,1.0,0
147,5.0,1.0,0.0,14.0,0
148,5.0,1.0,0.0,1.0,1
149,5.0,5.0,0.0,14.0,0
150,5.0,5.0,0.0,6.0,0
151,5.0,1.0,1.0,6.0,0
152,5.0,1.0,0.0,4.0,0
153,5.0,5.0,0.0,8.0,0
154,3.0,1.0,0.0,3.0,0
155,5.0,5.0,1.0,3.0,0
156,2.0,5.0,0.0,8.0,0
157,5.0,5.0,0.0,14.0,0
158,5.0,5.0,1.0,5.0,0
159,6.0,0.0,0.0,1.0,0
160,5.0,1.0,0.0,6.0,0
161,5.0,1.0,0.0,14.0,0
162,5.0,1.0,0.0,8.0,0
163,5.0,5.0,0.0,14.0,0
164,3.0,1.0,0.0,1.0,0
165,5.0,1.0,0.0,1.0,0
166,4.0,1.0,0.0,7.0,0
167,5.0,1.0,0.0,8.0,0
168,5.0,5.0,0.0,5.0,0
169,2.0,0.0,0.0,1.0,0
170,5.0,1.0,0.0,7.0,0
171,5.0,5.0,0.0,7.0,0
172,5.0,5.0,1.0,3.0,0
173,5.0,1.0,0.0,1.0,0
174,2.0,4.0,1.0,3.0,0
175,5.0,1.0,0.0,1.0,0
176,5.0,1.0,0.0,4.0,0
177,5.0,1.0,0.0,4.0,0
178,6.0,1.0,0.0,14.0,0
179,5.0,1.0,0.0,4.0,0
180,5.0,5.0,0.0,1.0,1
181,6.0,1.0,0.0,1.0,1
182,0.0,1.0,1.0,0.0,0
183,5.0,6.0,1.0,1.0,0
184,5.0,0.0,1.0,14.0,0
185,0.0,1.0,0.0,0.0,0
186,5.0,0.0,0.0,5.0,0
187,5.0,5.0,0.0,4.0,0
188,3.0,3.0,0.0,9.0,0
189,5.0,5.0,1.0,6.0,0
190,5.0,1.0,0.0,1.0,0
191,5.0,4.0,0.0,7.0,0
192,5.0,0.0,1.0,3.0,0
193,0.0,6.0,0.0,0.0,0
194,5.0,5.0,1.0,7.0,0
195,5.0,0.0,1.0,1.0,0
196,5.0,5.0,0.0,13.0,0
197,6.0,1.0,1.0,7.0,0
198,5.0,5.0,1.0,4.0,0
199,5.0,1.0,0.0,5.0,0
200,2.0,1.0,0.0,10.0,0
201,6.0,1.0,0.0,1.0,0
202,5.0,0.0,0.0,8.0,0
203,2.0,0.0,1.0,7.0,0
204,5.0,1.0,0.0,7.0,0
205,6.0,1.0,0.0,14.0,0
206,5.0,1.0,0.0,8.0,0
207,2.0,1.0,0.0,1.0,0
208,5.0,1.0,1.0,7.0,0
209,5.0,1.0,0.0,14.0,0
210,5.0,5.0,0.0,14.0,0
211,5.0,5.0,1.0,6.0,0
212,1.0,0.0,1.0,8.0,1
213,5.0,1.0,0.0,13.0,0
214,5.0,5.0,1.0,12.0,0
215,5.0,1.0,0.0,4.0,0
216,1.0,5.0,0.0,6.0,0
217,5.0,5.0,0.0,4.0,0
218,5.0,4.0,0.0,8.0,0
219,5.0,5.0,1.0,1.0,0
220,5.0,1.0,0.0,3.0,0
221,5.0,5.0,1.0,4.0,0
222,5.0,5.0,0.0,8.0,0
223,6.0,1.0,0.0,14.0,0
224,2.0,1.0,0.0,13.0,1
225,5.0,1.0,0.0,8.0,0
226,5.0,1.0,0.0,7.0,1
227,2.0,1.0,0.0,1.0,0
228,0.0,4.0,1.0,0.0,0
229,0.0,1.0,0.0,0.0,0
230,5.0,5.0,0.0,11.0,0
231,5.0,1.0,0.0,7.0,0
232,5.0,5.0,1.0,1.0,0
233,5.0,1.0,0.0,12.0,0
234,4.0,1.0,0.0,6.0,0
235,5.0,0.0,1.0,12.0,0
236,5.0,1.0,0.0,12.0,1
237,5.0,5.0,1.0,6.0,0
238,5.0,5.0,1.0,14.0,0
239,5.0,1.0,0.0,13.0,0
240,2.0,5.0,1.0,6.0,0
241,4.0,1.0,0.0,8.0,0
242,5.0,5.0,1.0,6.0,0
243,4.0,1.0,0.0,13.0,0
244,1.0,5.0,1.0,3.0,0
245,0.0,1.0,1.0,0.0,0
246,5.0,1.0,0.0,5.0,0
247,5.0,1.0,1.0,14.0,0
248,5.0,1.0,0.0,13.0,0
249,3.0,1.0,0.0,4.0,0
250,5.0,5.0,0.0,14.0,0
251,5.0,5.0,0.0,8.0,0
252,5.0,1.0,0.0,7.0,0
253,1.0,5.0,0.0,7.0,0
254,5.0,5.0,0.0,12.0,0
255,5.0,5.0,0.0,4.0,0
256,1.0,0.0,0.0,12.0,1
257,5.0,5.0,1.0,6.0,0
258,3.0,5.0,0.0,6.0,0
259,4.0,5.0,0.0,7.0,0
260,5.0,1.0,1.0,1.0,0
261,2.0,5.0,0.0,7.0,0
262,5.0,5.0,1.0,7.0,0
263,5.0,5.0,1.0,3.0,0
264,5.0,5.0,1.0,1.0,0
265,5.0,1.0,0.0,5.0,0
266,0.0,1.0,0.0,0.0,0
267,5.0,1.0,0.0,8.0,0
268,0.0,5.0,1.0,0.0,0
269,5.0,1.0,1.0,14.0,0
270,5.0,1.0,0.0,1.0,0
271,5.0,1.0,0.0,13.0,0
272,5.0,1.0,1.0,1.0,0
273,3.0,5.0,0.0,1.0,0
274,0.0,1.0,0.0,0.0,0
275,5.0,5.0,1.0,6.0,0
276,5.0,0.0,0.0,6.0,0
277,5.0,5.0,0.0,5.0,0
278,6.0,1.0,0.0,8.0,1
279,5.0,5.0,0.0,10.0,0
280,1.0,1.0,0.0,8.0,0
281,5.0,1.0,0.0,5.0,0
282,5.0,5.0,1.0,5.0,0
283,5.0,0.0,1.0,12.0,0
284,5.0,1.0,0.0,14.0,0
285,5.0,5.0,1.0,4.0,0
286,5.0,5.0,0.0,4.0,0
287,5.0,1.0,0.0,10.0,0
288,1.0,1.0,0.0,13.0,0
289,5.0,5.0,0.0,1.0,0
290,5.0,1.0,0.0,1.0,0
291,5.0,1.0,0.0,5.0,0
292,5.0,1.0,0.0,14.0,0
293,5.0,0.0,1.0,3.0,0
294,5.0,1.0,0.0,6.0,0
295,5.0,5.0,0.0,4.0,0
296,5.0,1.0,0.0,6.0,0
297,5.0,5.0,0.0,14.0,0
298,4.0,5.0,0.0,9.0,1
299,5.0,1.0,0.0,4.0,0
300,5.0,1.0,0.0,8.0,0
301,5.0,5.0,0.0,5.0,0
302,2.0,0.0,1.0,3.0,0
303,5.0,0.0,1.0,1.0,0
304,5.0,5.0,0.0,5.0,0
305,2.0,5.0,0.0,7.0,0
306,5.0,1.0,1.0,3.0,0
307,5.0,5.0,0.0,3.0,0
308,6.0,1.0,0.0,1.0,0
309,4.0,1.0,0.0,14.0,1
310,2.0,1.0,0.0,12.0,0
311,5.0,5.0,0.0,5.0,0
312,4.0,1.0,0.0,9.0,0
313,5.0,0.0,1.0,1.0,1
314,5.0,1.0,1.0,3.0,1
315,5.0,0.0,0.0,8.0,0
316,0.0,5.0,0.0,0.0,0
317,5.0,5.0,1.0,14.0,0
318,5.0,1.0,0.0,1.0,0
319,5.0,1.0,0.0,4.0,0
320,5.0,0.0,0.0,10.0,0
321,6.0,1.0,0.0,1.0,0
322,5.0,1.0,0.0,8.0,0
323,5.0,1.0,0.0,4.0,0
324,5.0,4.0,0.0,5.0,0
325,5.0,1.0,0.0,7.0,0
326,2.0,0.0,1.0,7.0,0
327,5.0,5.0,0.0,6.0,0
328,4.0,1.0,0.0,9.0,0
329,4.0,1.0,0.0,7.0,1
330,5.0,5.0,0.0,5.0,0
331,0.0,5.0,0.0,0.0,0
332,5.0,1.0,0.0,8.0,0
333,5.0,0.0,1.0,3.0,1
334,5.0,1.0,0.0,1.0,0
335,5.0,5.0,1.0,14.0,0
336,5.0,0.0,1.0,6.0,0
337,5.0,6.0,1.0,6.0,0
338,6.0,1.0,0.0,9.0,0
339,5.0,0.0,1.0,1.0,0
340,5.0,1.0,0.0,13.0,0
341,5.0,5.0,0.0,8.0,0
342,5.0,1.0,0.0,6.0,0
343,5.0,1.0,0.0,7.0,0
344,5.0,1.0,0.0,1.0,1
345,5.0,5.0,1.0,7.0,0
346,5.0,0.0,1.0,1.0,1
347,5.0,1.0,0.0,8.0,1
348,5.0,5.0,1.0,6.0,0
349,5.0,0.0,0.0,8.0,0
350,0.0,6.0,1.0,0.0,0
351,5.0,5.0,0.0,5.0,0
352,2.0,0.0,1.0,3.0,0
353,5.0,1.0,1.0,6.0,0
354,5.0,1.0,0.0,13.0,0
355,5.0,1.0,0.0,7.0,0
356,5.0,5.0,0.0,14.0,0
357,4.0,1.0,0.0,7.0,1
358,1.0,5.0,0.0,10.0,0
359,5.0,5.0,1.0,3.0,0
360,5.0,1.0,0.0,8.0,0
361,5.0,0.0,0.0,8.0,0
362,5.0,0.0,0.0,5.0,0
363,2.0,1.0,1.0,1.0,0
364,5.0,1.0,0.0,8.0,0
365,6.0,1.0,0.0,7.0,0
366,5.0,1.0,0.0,14.0,0
367,4.0,1.0,0.0,14.0,0
368,4.0,1.0,1.0,7.0,0
369,5.0,0.0,1.0,6.0,0
370,5.0,1.0,0.0,14.0,0
371,5.0,4.0,0.0,8.0,0
372,5.0,1.0,0.0,8.0,0
373,4.0,1.0,0.0,14.0,0
374,4.0,5.0,0.0,8.0,0
375,5.0,1.0,0.0,1.0,0
376,5.0,1.0,1.0,7.0,0
377,5.0,5.0,1.0,1.0,0
378,0.0,1.0,0.0,0.0,0
379,5.0,5.0,0.0,8.0,0
380,4.0,1.0,0.0,1.0,0
381,5.0,0.0,1.0,12.0,0
382,4.0,2.0,1.0,1.0,0
383,5.0,6.0,1.0,3.0,0
384,5.0,1.0,0.0,13.0,0
385,5.0,1.0,0.0,6.0,0
386,5.0,0.0,1.0,3.0,0
387,5.0,6.0,1.0,3.0,0
388,4.0,1.0,1.0,3.0,0
389,5.0,1.0,0.0,1.0,0
390,5.0,0.0,1.0,7.0,0
391,5.0,5.0,0.0,13.0,0
392,2.0,5.0,1.0,7.0,0
393,5.0,5.0,1.0,8.0,0
394,0.0,5.0,1.0,0.0,1
395,5.0,4.0,0.0,4.0,0
396,5.0,1.0,0.0,1.0,0
397,0.0,1.0,0.0,0.0,0
398,5.0,1.0,0.0,1.0,0
399,5.0,1.0,0.0,1.0,0
400,5.0,5.0,1.0,14.0,0
401,5.0,5.0,1.0,12.0,0
402,5.0,5.0,1.0,14.0,0
403,5.0,1.0,0.0,6.0,0
404,5.0,1.0,0.0,4.0,0
405,5.0,5.0,0.0,13.0,0
406,5.0,0.0,1.0,3.0,0
407,5.0,5.0,0.0,4.0,0
408,5.0,5.0,1.0,1.0,0
409,5.0,1.0,1.0,7.0,0
410,5.0,0.0,1.0,13.0,0
411,5.0,1.0,1.0,3.0,0
412,5.0,5.0,0.0,5.0,0
413,0.0,5.0,0.0,0.0,0
414,1.0,1.0,0.0,3.0,0
415,5.0,1.0,0.0,13.0,0
416,5.0,1.0,0.0,5.0,0
417,3.0,1.0,0.0,7.0,0
418,6.0,1.0,0.0,7.0,1
419,6.0,5.0,0.0,1.0,0
420,5.0,1.0,0.0,5.0,0
421,5.0,0.0,1.0,8.0,0
422,5.0,5.0,0.0,12.0,0
423,5.0,5.0,0.0,14.0,0
424,5.0,4.0,1.0,3.0,0
425,5.0,4.0,0.0,3.0,0
426,5.0,0.0,1.0,6.0,0
427,5.0,5.0,1.0,3.0,0
428,5.0,5.0,1.0,6.0,0
429,0.0,5.0,1.0,0.0,0
430,6.0,1.0,0.0,13.0,0
431,5.0,5.0,0.0,6.0,0
432,5.0,1.0,1.0,3.0,0
433,5.0,5.0,1.0,1.0,0
434,0.0,5.0,1.0,0.0,0
435,4.0,1.0,0.0,7.0,0
436,5.0,1.0,0.0,8.0,0
437,0.0,3.0,1.0,0.0,0
438,4.0,1.0,0.0,1.0,0
439,5.0,1.0,0.0,1.0,0
440,5.0,1.0,0.0,3.0,0
441,5.0,1.0,0.0,14.0,0
442,5.0,5.0,1.0,14.0,0
443,4.0,1.0,0.0,1.0,0
444,5.0,5.0,1.0,14.0,0
445,5.0,1.0,0.0,7.0,0
446,5.0,1.0,0.0,1.0,1
447,5.0,5.0,0.0,7.0,0
448,5.0,5.0,0.0,3.0,0
449,5.0,5.0,0.0,3.0,0
450,3.0,1.0,0.0,13.0,0
451,4.0,1.0,0.0,9.0,0
452,1.0,1.0,0.0,7.0,0
453,5.0,5.0,0.0,3.0,0
454,3.0,5.0,1.0,1.0,0
455,5.0,5.0,0.0,4.0,0
456,2.0,5.0,0.0,10.0,0
457,5.0,1.0,0.0,7.0,0
458,5.0,5.0,1.0,3.0,0
459,5.0,1.0,0.0,4.0,0
460,3.0,1.0,1.0,6.0,0
461,5.0,1.0,0.0,8.0,0
462,5.0,1.0,0.0,14.0,0
463,4.0,1.0,0.0,8.0,0
464,3.0,1.0,0.0,6.0,0
465,3.0,5.0,0.0,10.0,0
466,1.0,1.0,0.0,1.0,0
467,5.0,1.0,0.0,4.0,0
468,5.0,1.0,0.0,6.0,0
469,5.0,5.0,0.0,5.0,0
470,0.0,5.0,1.0,0.0,0
471,3.0,0.0,0.0,7.0,0
472,5.0,0.0,0.0,14.0,0
473,1.0,5.0,0.0,7.0,0
474,5.0,5.0,0.0,6.0,0
475,4.0,6.0,1.0,9.0,0
476,5.0,1.0,0.0,6.0,1
477,5.0,5.0,0.0,4.0,0
478,5.0,2.0,1.0,14.0,0
479,5.0,0.0,1.0,14.0,0
480,5.0,1.0,1.0,3.0,0
481,5.0,0.0,0.0,5.0,0
482,5.0,5.0,0.0,14.0,0
483,5.0,0.0,0.0,1.0,1
484,5.0,0.0,1.0,1.0,0
485,5.0,0.0,0.0,8.0,0
486,5.0,5.0,0.0,13.0,0
487,5.0,5.0,0.0,6.0,0
488,5.0,5.0,0.0,7.0,0
489,5.0,1.0,0.0,8.0,0
490,5.0,5.0,0.0,4.0,0
491,5.0,5.0,0.0,5.0,0
492,5.0,1.0,0.0,14.0,0
493,5.0,1.0,0.0,5.0,0
494,3.0,1.0,0.0,8.0,0
495,5.0,1.0,0.0,1.0,0
496,5.0,5.0,0.0,4.0,0
497,5.0,5.0,0.0,1.0,0
498,5.0,5.0,0.0,4.0,0
499,3.0,0.0,1.0,7.0,0
500,4.0,1.0,0.0,8.0,0
501,5.0,1.0,0.0,8.0,1
502,2.0,1.0,0.0,12.0,0
503,5.0,0.0,1.0,3.0,0
504,4.0,1.0,0.0,8.0,0
505,0.0,1.0,1.0,0.0,0
506,5.0,5.0,1.0,3.0,0
507,5.0,1.0,0.0,1.0,1
508,1.0,5.0,1.0,3.0,0
509,4.0,1.0,0.0,13.0,0
510,5.0,5.0,0.0,4.0,0
511,5.0,6.0,1.0,6.0,0
512,5.0,5.0,0.0,13.0,0
513,5.0,5.0,1.0,6.0,0
514,5.0,0.0,0.0,3.0,0
515,5.0,5.0,1.0,11.0,0
516,0.0,5.0,0.0,0.0,0
517,5.0,4.0,1.0,12.0,0
518,5.0,1.0,0.0,7.0,1
519,3.0,1.0,0.0,9.0,0
520,5.0,5.0,1.0,1.0,0
521,2.0,1.0,0.0,13.0,0
522,4.0,1.0,0.0,9.0,0
523,5.0,5.0,0.0,9.0,0
524,2.0,1.0,0.0,1.0,0
525,5.0,6.0,1.0,3.0,0
526,5.0,1.0,0.0,1.0,0
527,6.0,1.0,0.0,1.0,0
528,5.0,5.0,1.0,1.0,0
529,5.0,1.0,0.0,14.0,1
530,5.0,5.0,0.0,1.0,0
531,2.0,5.0,1.0,7.0,0
532,5.0,0.0,1.0,3.0,0
533,5.0,1.0,0.0,6.0,0
534,6.0,1.0,0.0,8.0,0
535,5.0,1.0,1.0,7.0,0
536,5.0,6.0,0.0,13.0,0
537,5.0,1.0,0.0,8.0,1
538,5.0,1.0,0.0,13.0,0
539,5.0,5.0,0.0,6.0,0
540,5.0,1.0,0.0,13.0,0
541,5.0,1.0,0.0,7.0,0
542,5.0,0.0,1.0,1.0,0
543,5.0,5.0,1.0,3.0,0
544,5.0,1.0,0.0,1.0,0
545,5.0,1.0,0.0,9.0,0
546,5.0,1.0,0.0,7.0,0
547,5.0,1.0,0.0,6.0,0
548,5.0,1.0,0.0,8.0,0
549,4.0,1.0,0.0,8.0,0
550,5.0,5.0,0.0,14.0,0
551,5.0,0.0,0.0,4.0,0
552,6.0,1.0,0.0,8.0,0
553,5.0,4.0,0.0,3.0,1
554,5.0,1.0,0.0,8.0,0
555,3.0,1.0,0.0,9.0,0
556,4.0,1.0,0.0,6.0,0
557,5.0,1.0,0.0,7.0,0
558,5.0,1.0,0.0,14.0,0
559,5.0,5.0,1.0,7.0,0
560,5.0,4.0,1.0,3.0,0
561,5.0,5.0,1.0,3.0,0
562,3.0,1.0,0.0,7.0,0
563,0.0,1.0,0.0,0.0,0
564,5.0,5.0,0.0,3.0,0
565,5.0,5.0,0.0,8.0,0
566,5.0,1.0,0.0,1.0,0
567,4.0,5.0,1.0,14.0,0
568,4.0,1.0,0.0,9.0,0
569,5.0,4.0,1.0,6.0,0
570,5.0,1.0,0.0,7.0,0
571,4.0,5.0,1.0,14.0,0
572,4.0,1.0,0.0,8.0,0
573,5.0,4.0,1.0,3.0,0
574,5.0,1.0,0.0,7.0,0
575,5.0,1.0,1.0,3.0,1
576,4.0,1.0,0.0,9.0,0
577,5.0,1.0,0.0,8.0,0
578,5.0,1.0,0.0,1.0,0
579,5.0,1.0,0.0,14.0,0
580,5.0,1.0,0.0,14.0,0
581,4.0,1.0,1.0,7.0,0
582,5.0,5.0,0.0,7.0,1
583,5.0,5.0,1.0,6.0,0
584,5.0,5.0,0.0,8.0,0
585,5.0,5.0,0.0,10.0,0
586,5.0,1.0,0.0,1.0,0
587,2.0,1.0,0.0,3.0,1
588,5.0,5.0,1.0,6.0,0
589,5.0,0.0,0.0,1.0,0
590,5.0,5.0,0.0,6.0,0
591,5.0,1.0,0.0,5.0,0
592,2.0,4.0,1.0,1.0,1
593,6.0,5.0,1.0,3.0,0
594,5.0,1.0,0.0,1.0,0
595,5.0,0.0,1.0,6.0,0
596,5.0,4.0,1.0,4.0,0
597,6.0,1.0,0.0,14.0,0
598,6.0,1.0,0.0,8.0,0
599,5.0,5.0,0.0,4.0,0
600,5.0,1.0,1.0,4.0,0
601,5.0,5.0,0.0,13.0,0
602,5.0,6.0,0.0,3.0,0
603,3.0,1.0,0.0,1.0,0
604,0.0,4.0,0.0,0.0,0
605,5.0,5.0,1.0,1.0,0
606,5.0,5.0,1.0,3.0,0
607,2.0,1.0,0.0,10.0,0
608,5.0,5.0,0.0,8.0,0
609,2.0,5.0,0.0,3.0,0
610,5.0,1.0,0.0,8.0,0
611,5.0,1.0,0.0,7.0,1
612,0.0,5.0,0.0,0.0,0
613,5.0,5.0,0.0,14.0,0
614,5.0,1.0,0.0,7.0,0
615,5.0,1.0,0.0,4.0,0
616,5.0,5.0,0.0,6.0,0
617,5.0,1.0,0.0,4.0,0
618,5.0,1.0,0.0,9.0,0
619,5.0,1.0,0.0,1.0,1
620,5.0,1.0,0.0,4.0,0
621,5.0,5.0,1.0,14.0,0
622,5.0,4.0,0.0,5.0,0
623,5.0,0.0,0.0,8.0,0
624,5.0,1.0,0.0,4.0,0
625,5.0,1.0,0.0,1.0,0
626,0.0,1.0,0.0,0.0,0
627,6.0,1.0,0.0,1.0,1
628,4.0,1.0,0.0,9.0,0
629,5.0,1.0,0.0,4.0,0
630,4.0,0.0,0.0,4.0,0
631,5.0,0.0,1.0,3.0,0
632,5.0,0.0,0.0,7.0,0
633,5.0,5.0,1.0,3.0,0
634,5.0,3.0,0.0,3.0,0
635,3.0,1.0,0.0,1.0,1
636,5.0,1.0,0.0,4.0,0
637,0.0,1.0,0.0,0.0,0
638,1.0,0.0,0.0,1.0,0
639,5.0,5.0,0.0,5.0,0
640,0.0,6.0,1.0,0.0,0
641,0.0,5.0,1.0,0.0,0
642,1.0,1.0,1.0,1.0,0
643,3.0,1.0,0.0,1.0,1
644,5.0,5.0,0.0,6.0,0
645,5.0,5.0,1.0,14.0,0
646,5.0,0.0,1.0,6.0,0
647,0.0,1.0,0.0,0.0,0
648,5.0,0.0,1.0,7.0,0
649,2.0,5.0,1.0,3.0,0
650,5.0,1.0,0.0,8.0,0
651,5.0,5.0,1.0,14.0,0
652,4.0,1.0,1.0,6.0,1
653,5.0,1.0,0.0,14.0,0
654,2.0,1.0,0.0,13.0,0
655,5.0,5.0,1.0,14.0,0
656,1.0,1.0,0.0,1.0,0
657,0.0,0.0,0.0,0.0,0
658,5.0,0.0,0.0,8.0,0
659,5.0,0.0,0.0,14.0,0
660,5.0,1.0,1.0,3.0,0
661,5.0,1.0,0.0,5.0,0
662,5.0,5.0,0.0,6.0,0
663,5.0,5.0,1.0,3.0,0
664,0.0,1.0,0.0,0.0,0
665,5.0,5.0,1.0,7.0,0
666,5.0,1.0,0.0,4.0,0
667,5.0,5.0,1.0,1.0,0
668,5.0,0.0,0.0,4.0,1
669,6.0,1.0,0.0,1.0,0
670,5.0,5.0,1.0,3.0,0
671,5.0,4.0,1.0,6.0,0
672,1.0,5.0,1.0,3.0,0
673,2.0,1.0,0.0,1.0,0
674,5.0,5.0,1.0,4.0,0
675,5.0,5.0,1.0,14.0,0
676,5.0,5.0,0.0,1.0,0
677,5.0,0.0,1.0,14.0,0
678,5.0,0.0,1.0,5.0,0
679,2.0,1.0,0.0,7.0,1
680,4.0,0.0,0.0,14.0,0
681,4.0,5.0,0.0,13.0,0
682,5.0,1.0,0.0,8.0,0
683,5.0,1.0,0.0,8.0,0
684,5.0,1.0,0.0,13.0,1
685,1.0,0.0,0.0,3.0,0
686,4.0,1.0,0.0,1.0,0
687,5.0,5.0,1.0,3.0,0
688,5.0,4.0,1.0,14.0,0
689,2.0,1.0,0.0,10.0,0
690,5.0,1.0,0.0,9.0,0
691,5.0,0.0,1.0,4.0,0
692,5.0,1.0,0.0,1.0,1
693,0.0,1.0,0.0,0.0,0
694,5.0,1.0,0.0,8.0,0
